hero,entry,move,weapon,hp,atk,spd,def,res,total,color,weapon-type,ghb,duo,attuned,story,harmonized,tempest,emblem,mythic,entwined,regular_5,chosen,aided,regular_4_3_2_1,legendary,rearmed,special,specialRate
Alm: Lovebird Duo,Echoes,Infantry,Green Axe,40,35,40,32,25,172,Green,Axe,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True
Alm: Powerful Resolve,Echoes,Infantry,Colorless Bow,41,47,47,30,28,193,Colorless,Bow,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Alm: Saint-King,Echoes,Infantry,Colorless Bow,40,37,37,26,22,162,Colorless,Bow,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
Altena: Luminous Rider,Genealogy of the Holy War,Flying,Blue Lance,45,37,25,39,20,166,Blue,Lance,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
Altina: Cross-Time Duo,Path of Radiance,Infantry,Red Sword,42,40,18,37,39,176,Red,Sword,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,True
Altina: Dawn's Trueblade,Radiant Dawn,Flying,Red Sword,42,38,20,30,36,166,Red,Sword,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False
Altina: Unrivaled Dawn,Radiant Dawn,Infantry,Green Axe,42,47,16,42,46,193,Green,Axe,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
Amelia: Blossoming Talent,The Sacred Stones,Armored,Blue Lance,45,46,46,37,33,207,Blue,Lance,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
Amelia: Rose of the War,The Sacred Stones,Armored,Green Axe,47,34,34,35,23,173,Green,Axe,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
Anankos: Seething Silence,Fates,Armored,Blue Breath,42,43,44,36,31,196,Blue,Breath,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
Anna: Commander,Heroes,Infantry,Green Axe,41,29,38,22,28,158,Green,Axe,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
Anna: Secret Charmer,Awakening,Cavalry,Green Bow,38,43,46,22,25,174,Green,Bow,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
Anna: Secret Seller,Awakening,Infantry,Blue Lance,38,35,40,28,31,172,Blue,Lance,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
Anna: Twice the Anna,Awakening,Flying,Green Axe,40,44,47,31,27,189,Green,Axe,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False
Anna: Wealth-Wisher,Heroes,Infantry,Red Bow,40,34,40,16,37,167,Red,Bow,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True
Annand: Knight-Defender,Genealogy of the Holy War,Flying,Red Sword,37,35,39,27,34,172,Red,Sword,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
Annette: Festive Helper,Three Houses,Armored,Colorless Bow,43,43,23,40,41,190,Colorless,Bow,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
Annette: Overachiever,Three Houses,Infantry,Green Axe,40,39,36,28,30,173,Green,Axe,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
Arden: Strong and Tough,Genealogy of the Holy War,Armored,Red Sword,60,36,16,41,16,169,Red,Sword,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
Ares: Black Knight,Genealogy of the Holy War,Cavalry,Red Sword,40,36,30,33,18,157,Red,Sword,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
Arete: Requiem's Beauty,Fates,Cavalry,Red Tome,41,36,27,20,34,158,Red,Tome,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Arion: Gungnir's Heir,Genealogy of the Holy War,Flying,Blue Lance,41,45,36,46,21,189,Blue,Lance,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Arlen: Mage of Khadein,Shadow Dragon / (New) Mystery,Infantry,Colorless Tome,41,42,45,38,17,183,Colorless,Tome,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
Arthur: Furious Mage,Genealogy of the Holy War,Infantry,Green Tome,40,42,41,30,18,171,Green,Tome,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
Arthur: Hapless Hero,Fates,Infantry,Green Axe,43,32,29,30,24,158,Green,Axe,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
Artur: Silver Saint,The Sacred Stones,Armored,Green Tome,43,41,19,35,41,179,Green,Tome,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True
Arval: Cycle Keeper,Three Houses,Infantry,Colorless Tome,40,44,27,23,43,177,Colorless,Tome,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False
Arvis: Emperor of Flame,Genealogy of the Holy War,Infantry,Red Tome,33,34,31,17,33,148,Red,Tome,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Asbel: Windswept Youth,Thracia 776,Infantry,Green Tome,40,36,42,21,26,165,Green,Tome,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
Ash: Borrowed Power,Heroes,Infantry,Colorless Beast,45,48,18,49,44,204,Colorless,Beast,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
Ash: Earnest Greetings,Heroes,Infantry,Blue Beast,41,44,19,44,40,188,Blue,Beast,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,True
Ash: Retainer to Askr,Heroes,Infantry,Colorless Beast,41,39,27,41,34,182,Colorless,Beast,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False
Ashe: Budding Chivalry,Three Houses,Flying,Red Dagger,40,43,46,32,17,178,Red,Dagger,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
Ashe: Chivalric Amends,Three Houses,Cavalry,Green Bow,39,44,47,27,28,185,Green,Bow,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
Ashe: Fabled Sea Knight,Three Houses,Cavalry,Blue Lance,40,37,41,32,18,168,Blue,Lance,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True
Ashera: Order Goddess,Radiant Dawn,Infantry,Colorless Tome,37,35,39,15,40,166,Colorless,Tome,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False
Ashnard: Mad King,Path of Radiance,Flying,Red Sword,43,37,21,35,31,167,Red,Sword,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Askr: God of Openness,Heroes,Infantry,Colorless Beast,40,43,26,43,31,183,Colorless,Beast,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False
Askr: Open Harvest,Heroes,Infantry,Colorless Beast,42,48,16,48,45,199,Colorless,Beast,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
Askr: Renewed Gods,Heroes,Infantry,Colorless Tome,40,42,16,42,37,177,Colorless,Tome,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True
Astram: Midia's Hero,Shadow Dragon / (New) Mystery,Infantry,Red Sword,44,35,36,36,21,172,Red,Sword,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Astrid: Resolute Damsel,Path of Radiance,Cavalry,Green Bow,38,39,41,27,23,168,Green,Bow,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
Athena: Borderland Sword,Shadow Dragon / (New) Mystery,Infantry,Red Sword,36,31,38,27,24,156,Red,Sword,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
Athos: Omniscient One,The Blazing Blade,Infantry,Blue Tome,40,49,18,32,49,188,Blue,Tome,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False
Atlas: Forest Muscle,Echoes,Infantry,Green Axe,46,43,37,34,27,187,Green,Axe,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
August: Astute Tactician,Thracia 776,Infantry,Colorless Staff,40,40,17,32,43,172,Colorless,Staff,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
Aversa: Dark One,Awakening,Flying,Red Tome,42,33,34,17,24,150,Red,Tome,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Ayra: Astra's Wielder,Genealogy of the Holy War,Infantry,Red Sword,41,33,37,31,21,163,Red,Sword,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
Ayra: Supreme Astra,Genealogy of the Holy War,Infantry,Red Sword,40,46,48,34,31,199,Red,Sword,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
Ayra: Together in Tea,Genealogy of the Holy War,Cavalry,Red Sword,40,44,46,32,17,179,Red,Sword,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False
Azama: Carefree Monk,Fates,Infantry,Colorless Staff,43,21,26,32,25,147,Colorless,Staff,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
Azelle: Youthful Flame,Genealogy of the Holy War,Infantry,Red Tome,41,37,39,26,23,166,Red,Tome,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
Azura: Celebratory Spirit,Fates,Flying,Green Axe,37,30,35,22,26,150,Green,Axe,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True
Azura: Hatari Duet,Path of Radiance,Cavalry,Green Tome,37,37,39,16,23,152,Green,Tome,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,True
Azura: Lady of Ballads,Fates,Infantry,Green Axe,35,32,34,20,28,149,Green,Axe,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True
Azura: Lady of the Lake,Fates,Infantry,Blue Lance,36,31,33,21,28,149,Blue,Lance,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
Azura: Lady of the Sky,Fates,Flying,Blue Lance,36,42,48,16,48,190,Blue,Lance,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
Azura: Song's Reflection,Fates,Cavalry,Green Axe,38,45,46,18,28,175,Green,Axe,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Azura: Vallite Songstress,Fates,Flying,Blue Tome,33,30,35,17,24,139,Blue,Tome,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
Azura: Young Songstress,Fates,Infantry,Green Tome,36,33,29,17,25,140,Green,Tome,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
Baldr: Celestial Sun God,Heroes,Flying,Red Sword,41,47,48,30,28,194,Red,Sword,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False
Baldr: New Year's Elite,Heroes,Flying,Blue Lance,41,48,49,34,28,200,Blue,Lance,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
Baldr: Rays of Judgment,Heroes,Flying,Blue Bow,42,48,48,32,25,195,Blue,Bow,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
Balthus: King of Grappling,Three Houses,Infantry,Green Axe,47,42,24,37,31,181,Green,Axe,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
Balthus: Summer's Big Bet,Three Houses,Infantry,Blue Lance,47,49,31,45,26,198,Blue,Lance,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
Bantu: Tiki's Guardian,Shadow Dragon / (New) Mystery,Infantry,Red Breath,45,34,28,35,26,168,Red,Breath,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
Barst: The Hatchet,Shadow Dragon / (New) Mystery,Infantry,Green Axe,46,33,32,30,17,158,Green,Axe,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
Bartre: Earsome Warrior,The Binding Blade,Infantry,Red Sword,46,40,26,35,25,172,Red,Sword,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
Bartre: Fearless Warrior,The Binding Blade,Infantry,Green Axe,49,36,25,33,13,156,Green,Axe,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
Basilio: Feroxi West-Khan,Awakening,Infantry,Green Axe,48,43,33,36,21,181,Green,Axe,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
Bastian: Crimea's Keystone,Radiant Dawn,Infantry,Green Tome,40,44,28,20,45,177,Green,Tome,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
Benny: Sensitive Soul,Fates,Armored,Blue Lance,48,35,23,44,34,184,Blue,Lance,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
Berkut: Debonair Noble,Echoes,Infantry,Blue Lance,41,36,23,37,24,161,Blue,Lance,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True
Berkut: Prideful Prince,Echoes,Cavalry,Blue Lance,43,34,22,31,24,154,Blue,Lance,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Berkut: Purgatorial Prince,Echoes,Cavalry,Blue Lance,40,35,17,35,30,157,Blue,Lance,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
Bernadetta: Eternal Loner,Three Houses,Cavalry,Colorless Bow,38,32,38,22,26,156,Colorless,Bow,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
Bernadetta: Frosty Shut-In,Three Houses,Cavalry,Green Tome,39,36,40,19,23,157,Green,Tome,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True
Bernadetta: Late Hibernator,Three Houses,Cavalry,Blue Bow,39,43,47,20,25,174,Blue,Bow,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False
Bernadetta: Sheltered Loner,Three Houses,Cavalry,Blue Bow,40,45,48,24,28,185,Blue,Bow,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
Bertram: Dread Cavalier,Path of Radiance,Cavalry,Red Sword,45,37,27,38,26,173,Red,Sword,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Beruka: Quiet Assassin,Fates,Flying,Green Axe,46,29,23,37,22,157,Green,Axe,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
Black Knight: Mortal Legend,Radiant Dawn,Armored,Red Sword,47,49,16,49,46,207,Red,Sword,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
Black Knight: Sinister General,Path of Radiance,Armored,Red Sword,48,34,34,35,18,169,Red,Sword,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
Black Knight: The Night's Blade,Path of Radiance,Armored,Green Axe,43,44,44,35,30,196,Green,Axe,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True
Boey: Skillful Survivor,Echoes,Infantry,Green Tome,43,29,27,32,18,149,Green,Tome,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
Bors: Ostia's Bastion,The Binding Blade,Armored,Blue Lance,51,47,34,48,25,205,Blue,Lance,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
Boyd: Future Great,Path of Radiance,Infantry,Green Axe,50,43,36,31,21,181,Green,Axe,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
Boyd: Intrepid Warrior,Path of Radiance,Infantry,Green Axe,51,49,45,37,21,203,Green,Axe,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
Brady: Daunting Priest,Awakening,Infantry,Colorless Staff,41,33,32,23,28,157,Colorless,Staff,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
Bramimond: The Enigma,The Blazing Blade,Infantry,Colorless Tome,39,40,27,21,35,162,Colorless,Tome,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False
Brigand Boss: Known Criminal,Echoes,Infantry,Green Axe,45,42,35,35,24,181,Green,Axe,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Brigid: Awakened Bow,Genealogy of the Holy War,Infantry,Green Bow,40,46,48,34,25,193,Green,Bow,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Brigid: Orgahil Pirate,Genealogy of the Holy War,Infantry,Red Bow,41,37,40,30,19,167,Red,Bow,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True
Brunnya: Devoted General,The Binding Blade,Infantry,Blue Tome,42,35,31,21,33,162,Blue,Tome,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
Bruno: Masked Hare,Heroes,Cavalry,Colorless Staff,41,30,24,35,14,144,Colorless,Staff,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True
Bruno: Masked Knight,Heroes,Cavalry,Blue Tome,40,45,48,22,30,185,Blue,Tome,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Bruno: Masked Reveler,Heroes,Armored,Green Tome,43,41,38,29,34,185,Green,Tome,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
Byleth: Anchor of Hope,Three Houses,Infantry,Red Sword,41,47,48,38,30,204,Red,Sword,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
Byleth: Fell Star's Duo,Three Houses,Flying,Red Tome,40,36,42,16,21,155,Red,Tome,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True
Byleth: Fount of Learning,Three Houses,Infantry,Blue Tome,40,42,44,25,26,177,Blue,Tome,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
Byleth: Frosty Professors,Three Houses,Armored,Red Sword,47,46,18,45,46,202,Red,Sword,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
Byleth: Of the Academy,Three Houses,Infantry,Blue Tome,40,46,49,41,17,193,Blue,Tome,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
Byleth: Proven Professor,Three Houses,Infantry,Red Sword,40,34,40,33,21,168,Red,Sword,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
Byleth: Sublime Light,Three Houses,Flying,Colorless Tome,39,41,43,26,24,173,Colorless,Tome,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
Byleth: Tested Professor,Three Houses,Infantry,Red Sword,40,36,38,34,20,168,Red,Sword,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
Byleth: The Fódlan Light,Three Houses,Infantry,Blue Tome,40,39,43,23,26,171,Blue,Tome,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
Byleth: The Fódlan Star,Three Houses,Infantry,Green Tome,40,39,41,25,21,166,Green,Tome,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
Byleth: Vengeance Vessel,Three Houses,Infantry,Red Sword,40,44,47,32,25,188,Red,Sword,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
Caeda: Beloved Queen,Shadow Dragon / (New) Mystery,Flying,Blue Lance,39,38,43,27,31,178,Blue,Lance,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
Caeda: Marth's Faithful,Shadow Dragon / (New) Mystery,Infantry,Blue Lance,40,42,47,30,34,193,Blue,Lance,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Caeda: Princess of Talys,Shadow Dragon / (New) Mystery,Flying,Red Sword,36,33,42,25,30,166,Red,Sword,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True
Caeda: Sea-Blossom Pair,Heroes,Cavalry,Green Axe,39,33,42,26,28,168,Green,Axe,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,True
Caeda: Talys's Bride,Shadow Dragon / (New) Mystery,Infantry,Blue Tome,33,29,37,19,30,148,Blue,Tome,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True
Caeda: Talys's Heart,Shadow Dragon / (New) Mystery,Flying,Red Sword,36,25,37,24,34,156,Red,Sword,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
Caeldori: Perfect Angel,Fates,Flying,Blue Lance,39,40,44,30,31,184,Blue,Lance,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
Caellach: Tiger Eye,The Sacred Stones,Infantry,Green Axe,45,40,27,31,33,176,Green,Axe,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Cain: The Bull,Shadow Dragon / (New) Mystery,Cavalry,Red Sword,42,32,32,27,21,154,Red,Sword,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
Caineghis: Gallia's Lion King,Radiant Dawn,Armored,Colorless Beast,47,37,23,37,30,174,Colorless,Beast,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
Camilla: Alluring Darkness,Fates,Flying,Green Tome,40,45,46,22,25,178,Green,Tome,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
Camilla: Bewitching Beauty,Fates,Flying,Green Axe,37,30,32,28,31,158,Green,Axe,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
Camilla: Flower of Fantasy,Fates,Flying,Red Tome,36,37,30,17,30,150,Red,Tome,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
Camilla: Holiday Traveler,Fates,Flying,Red Sword,40,33,35,31,23,162,Red,Sword,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True
Camilla: Light of Nohr,Fates,Flying,Colorless Staff,39,33,37,21,25,155,Colorless,Staff,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
Camilla: Midnight Bloom,Fates,Flying,Red Tome,38,43,19,32,40,172,Red,Tome,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True
Camilla: Spring Princess,Fates,Flying,Green Tome,39,35,25,30,19,148,Green,Tome,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True
Camilla: Steamy Secrets,Fates,Flying,Colorless Dagger,38,33,35,17,28,151,Colorless,Dagger,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
Camilla: Tropical Beauty,Fates,Flying,Blue Tome,39,33,36,23,19,150,Blue,Tome,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True
Camilla: Young Beauty,Fates,Flying,Green Axe,40,46,48,35,25,194,Green,Axe,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
Camus: Sable Knight,Shadow Dragon / (New) Mystery,Cavalry,Blue Lance,42,32,33,31,17,155,Blue,Lance,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Canas: Wisdom Seeker,The Blazing Blade,Infantry,Red Tome,36,32,29,21,33,151,Red,Tome,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
Candace: Sly Snatcher,Fates,Infantry,Colorless Bow,38,45,36,25,44,188,Colorless,Bow,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Caspar: Hotheaded Inciter,Three Houses,Infantry,Green Axe,46,48,44,32,28,198,Green,Axe,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
Caspar: Summer Intensity,Three Houses,Infantry,Green Axe,46,41,36,30,23,176,Green,Axe,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
Castor: Loving Son,Shadow Dragon / (New) Mystery,Infantry,Red Bow,45,46,39,33,24,187,Red,Bow,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Cath: Caper Captain,The Binding Blade,Cavalry,Blue Tome,39,37,43,21,22,162,Blue,Tome,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True
Cath: Master Thief,The Binding Blade,Infantry,Green Dagger,41,36,43,27,30,177,Green,Dagger,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
Catherine: Thunder Knight,Three Houses,Infantry,Red Sword,43,39,41,30,23,176,Red,Sword,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
Catria: Azure Wing Pair,Echoes,Flying,Green Axe,40,40,41,28,23,172,Green,Axe,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,True
